DataContainerAsset e1c479ce-f419-41e6-9f9a-332e8542be41
	$::Asset
		$::DataContainer
		Name Gameplay/Input/CamRelativeControlTurretWheeled
	Data 83d9c530-877d-477c-873c-50adabd98345
CameraRelativeControlData 83d9c530-877d-477c-873c-50adabd98345
	$::DataContainer
	CameraRelativeControl ForceCameraRelative
	CameraRelativeControl_Forward -1264169875
	CameraRelativeControl_Back 899534898
	CameraRelativeControl_Strafe 1077554143
	ForcedMovingBodyWorldSpaceLock 1018573301
	SpeedRelativeData::array
		member(0)::CameraRelativeControlPerSpeedData
			SpeedThreshold 0.0
			WorldSpaceLockEfficiency 1.0
			WorldSpaceLockEfficiencyAway 0.0
			ThrottleForSteeringHelp 0.5
			ThrottleForSteeringHelpStrength 1.0
			ThrottleHold 0.8500000238418579
			MinInputMagnitude 0.20000000298023224
			ThrottleExponent 1.0
			TurningExponent 1.0
			FullTurningThreshold 1.0
			FullTurningBlending 0.5
			ExtraForwardZoneAngle 35.0
			AngularYawConstraint 180.0
			UseInForwardAndNeutralGears True
			UseInReverseGear False
			UseInBoost True
			UseNotInBoost True
			InvertExtraForwardZoneIfBackwards False
			InvertExtraForwardZoneOnSideFacingCamera True
		member(1)::CameraRelativeControlPerSpeedData
			SpeedThreshold 18.0
			WorldSpaceLockEfficiency 1.0
			WorldSpaceLockEfficiencyAway 0.0
			ThrottleForSteeringHelp 0.0
			ThrottleForSteeringHelpStrength 1.0
			ThrottleHold 0.8500000238418579
			MinInputMagnitude 0.20000000298023224
			ThrottleExponent 1.0
			TurningExponent 1.0
			FullTurningThreshold 1.0
			FullTurningBlending 0.5
			ExtraForwardZoneAngle 35.0
			AngularYawConstraint 180.0
			UseInForwardAndNeutralGears True
			UseInReverseGear False
			UseInBoost True
			UseNotInBoost True
			InvertExtraForwardZoneIfBackwards True
			InvertExtraForwardZoneOnSideFacingCamera False
		member(2)::CameraRelativeControlPerSpeedData
			SpeedThreshold 0.0
			WorldSpaceLockEfficiency 1.0
			WorldSpaceLockEfficiencyAway -1.0
			ThrottleForSteeringHelp 0.0
			ThrottleForSteeringHelpStrength 1.0
			ThrottleHold 0.8500000238418579
			MinInputMagnitude 0.20000000298023224
			ThrottleExponent 1.0
			TurningExponent 1.0
			FullTurningThreshold 1.0
			FullTurningBlending 0.5
			ExtraForwardZoneAngle 35.0
			AngularYawConstraint 180.0
			UseInForwardAndNeutralGears False
			UseInReverseGear True
			UseInBoost True
			UseNotInBoost True
			InvertExtraForwardZoneIfBackwards False
			InvertExtraForwardZoneOnSideFacingCamera True
		member(3)::CameraRelativeControlPerSpeedData
			SpeedThreshold 18.0
			WorldSpaceLockEfficiency 1.0
			WorldSpaceLockEfficiencyAway -1.0
			ThrottleForSteeringHelp 0.0
			ThrottleForSteeringHelpStrength 1.0
			ThrottleHold 0.8500000238418579
			MinInputMagnitude 0.20000000298023224
			ThrottleExponent 1.0
			TurningExponent 1.0
			FullTurningThreshold 1.0
			FullTurningBlending 0.5
			ExtraForwardZoneAngle 35.0
			AngularYawConstraint 180.0
			UseInForwardAndNeutralGears False
			UseInReverseGear True
			UseInBoost True
			UseNotInBoost True
			InvertExtraForwardZoneIfBackwards True
			InvertExtraForwardZoneOnSideFacingCamera False
	ThrottleOutput -442021152
	BrakeOutput -765325833
	YawOutput -1921408025
	CombineWithNonRelativeControls True
	UseCameraComponentTransform True
	VehicleRelativeForward False
	VehicleRelativeStrafe False
	InvertedYawInReverse True
