Partition 68B3468A-7DBE-4106-8389-529E39450333
DriverSettings 480F34E8-FD48-4AD5-BDBB-11D7AE4ECF0D #primary instance
	$::Asset
		$::DataContainer
		Name AI/Vehicles/DriverSettings/Tank
	MinRadius 3.0
	RadiusGrowthSpeed 0.800000011920929
	StoppingDeceleration 10.0
	SteeringSensitivity 30.0
	RegulatedSteering 85D47A9C-B663-47B7-AE81-E04AADE2B461
	MaxBrakeOutput 0.0
	LookAheadTime 1.2999999523162842
	AngleDiffForNoSlowdown 20.0
	AngleDiffForFullSlowdown 80.0
	VelocityAtFullSlowdown 0.0
	VelDiffAtMinAcc 0.10000000149011612
	VelDiffAtMaxAcc 7.0
	MinAcc 0.0
	MaxAcc 8.0
	VelDiffAtMinDec 0.10000000149011612
	VelDiffAtMaxDec 5.0
	MinDec 0.0
	MaxDec 25.0
	AccDiffAtMinThrottleVelocityAccelerating 1.0
	AccDiffAtMaxThrottleVelocityAccelerating 8.0
	MinThrottleVelocityAccelerating 0.20000000298023224
	MaxThrottleVelocityAccelerating 1.0
	AccDiffAtMinThrottleVelocityDecelerating 3.0
	AccDiffAtMaxThrottleVelocityDecelerating 10.0
	MinThrottleVelocityDecelerating 0.10000000149011612
	MaxThrottleVelocityDecelerating 5.0
	P 0.10000000149011612
	I 0.009999999776482582
	D 0.009999999776482582
	MaxError 100.0
	MaxSumError 100.0
	MaxPTerm 1.0
	MaxITerm 1.0
	MaxYawToApplySprint 0.30000001192092896
	MaxAngleDiffToApplySprint 0.0
	MaxAngularVelocityToApplySprint 0.0
	MinVelocityToApplySprint 0.0
	LookAheadAimTime 1.2999999523162842
	MinLookAheadDist 7.0
	SquareBrakeOutput True
	UseSquareVelDiffCurveAcc False
	UseSquareVelDiffCurveDec True
	UseSquareAccDiffCurveAcc False
	UseSquareAccDiffCurveDec False
	UsePIDRegulator False
	IncludeYDifference True
RegulatedSteering 85D47A9C-B663-47B7-AE81-E04AADE2B461
	$::DataContainer
	PID::PID
		P 0.014999999664723873
		I 0.0
		D 0.0
		MaxError 45.0
		MaxPTerm 1.0
		MaxITerm 1.0
		MaxSumError 45.0
